vin,make,fuel_type,engine_type,num-of-doors,body_type,drive_type,num_of_cylinders,city_mpg,highway_mpg,year,mileage,color,state,country
  1c3cdzab0en111068,subaru,gas,std,four,sedan,4wd,four,24,25,2014,123660,silver,utah, usa
  1ftfw1ef1gfb13670,mitsubishi,gas,turbo,two,hatchback,fwd,four,19,24,2016,84413,black,pennsylvania, usa
  3c4njddb0kt686052,mitsubishi,gas,std,four,sedan,fwd,four,25,32,2019,29245,gray,north carolina, usa
  1c3cdffh0gd823262,subaru,gas,std,two,hatchback,fwd,four,26,31,2016,49033,black,michigan, usa
  3c4njccb0kt676343,mazda,gas,std,two,hatchback,fwd,four,31,38,2019,31594,silver,north carolina, usa
  1gcgtben3h1180134,peugot,diesel,turbo,four,sedan,rwd,four,28,33,2017,33791,turquoise,michigan, usa
  1fm5k7d84hgc31359,peugot,gas,std,four,sedan,rwd,four,19,24,2017,29882,white,texas, usa
  1gcgtcen4h1158648,nissan,gas,std,two,hardtop,fwd,four,31,37,2017,24993,black,michigan, usa
  2d8hn44h88r669549,subaru,gas,std,four,sedan,fwd,four,32,37,2008,177948,orange,utah, usa
  1fm5k8f8xggc51519,toyota,gas,std,four,hatchback,fwd,four,31,38,2016,86826,gray,south carolina, usa
  2c3cdzag7jh321665,toyota,gas,std,two,hatchback,rwd,four,24,30,2018,35461,white,florida, usa
  2c4rdgeg9jr237989,audi,gas,std,two,sedan,fwd,five,19,25,2018,45561,white,texas, usa
  wba7f2c57gg421020,toyota,gas,std,four,sedan,fwd,four,28,34,2016,39917,blue,michigan, usa
  1fadp3j2xjl279400,nissan,gas,std,four,sedan,fwd,six,19,25,2018,23164,white,south carolina, usa
  3c4pddgg1jt523058,toyota,gas,std,two,sedan,rwd,four,29,34,2018,32504,black,florida, usa
  1gyknbrs8hz257399,nissan,gas,std,two,hatchback,rwd,six,19,25,2017,19011,no_color,michigan, usa
  1gcptce16h1176629,plymouth,gas,turbo,two,hatchback,rwd,four,19,24,2017,47357,black,michigan, usa
  1ftew1cf3fke12825,toyota,gas,std,two,hatchback,rwd,six,19,24,2015,61436,silver,south carolina, usa
  1gbhg396191112177,volkswagen,diesel,std,two,sedan,fwd,four,37,46,2009,261648,white,michigan, usa
  2c3ccabgxkh559658,mazda,gas,std,four,sedan,fwd,four,31,38,2019,42648,gray,south carolina, usa
  1gcsksea1az121133,audi,gas,std,four,sedan,fwd,five,19,25,2010,149050,black,georgia, usa
  1fmcu9gx9gua57286,nissan,gas,std,two,sedan,fwd,four,31,37,2016,36855,black,pennsylvania, usa
  1gc4k1ey0jf149152,porsche,gas,std,two,hardtop,rwd,six,17,25,2018,16105,black,washington, usa
  1c3cccab7fn613884,nissan,gas,std,two,sedan,fwd,four,31,37,2015,88227,black,pennsylvania, usa
  1gys4tkj0fr538846,subaru,gas,std,four,wagon,fwd,four,25,31,2015,57932,gray,washington, usa
  1ftew1ep1gfc64335,toyota,gas,std,two,hatchback,rwd,four,29,34,2016,77638,white,south carolina, usa
  2c3cdxct1jh233225,subaru,gas,std,four,sedan,fwd,four,26,32,2018,38910,black,florida, usa
  1g6ah1rx1g0193887,toyota,diesel,std,four,hatchback,fwd,four,38,47,2016,46467,white,michigan, usa
  2gnflhe33f6214023,dodge,gas,std,two,hatchback,fwd,four,31,38,2015,61578,black,ohio, usa
  3c4pddeg7ht595704,jaguar,gas,std,four,sedan,rwd,six,15,19,2017,46829,gray,texas, usa
  1g4ps5sk1e4188639,dodge,gas,turbo,?,sedan,fwd,four,24,30,2014,31039,brown,ohio, usa
  5gakrckdxhj113512,mazda,gas,std,two,hatchback,fwd,four,31,38,2017,32107,no_color,tennessee, usa
  2c3cdzag7jh321665,toyota,gas,std,two,hatchback,rwd,four,24,30,2018,35461,white,florida, usa
  3gyfnae36gs538333,volkswagen,gas,std,four,sedan,fwd,four,27,34,2016,26667,gray,michigan, usa
  1ftew1ep2hkd15978,plymouth,gas,std,four,sedan,fwd,four,31,38,2017,48086,red,south carolina, usa
  5gakvckd2hj308564,mitsubishi,gas,std,two,hatchback,fwd,four,31,38,2017,25434,white,florida, usa
  1ft7w2bt8hec67434,volkswagen,gas,std,two,hatchback,fwd,four,24,29,2017,72445,white,texas, usa
  3c4njddb7kt682015,mitsubishi,gas,std,two,hatchback,fwd,four,25,32,2019,32501,red,north carolina, usa
  2c3cdxhgxjh125388,subaru,gas,std,four,wagon,fwd,four,28,32,2018,36767,gray,florida, usa
  1fm5k8ht0hga07252,nissan,gas,std,four,wagon,fwd,six,17,22,2017,40455,white,texas, usa
  1ftfw1et4efc23745,audi,gas,std,four,sedan,fwd,four,24,30,2014,64146,blue,virginia, usa
  3fa6p0hd3hr199785,volkswagen,diesel,turbo,four,sedan,fwd,four,37,42,2017,37176,white,texas, usa
  nm0ls7e76h1312963,volvo,gas,turbo,four,wagon,rwd,four,17,22,2017,90618,white,texas, usa
  1g1fb3dx5h0143964,mitsubishi,gas,turbo,two,hatchback,fwd,four,19,24,2017,28395,black,florida, usa
  3fa6p0hd3hr199785,volkswagen,diesel,turbo,four,sedan,fwd,four,37,42,2017,37176,white,texas, usa
  1g4ps5sk1e4188639,dodge,gas,turbo,?,sedan,fwd,four,24,30,2014,31039,brown,ohio, usa
  3c4pdcab8jt166940,renault,gas,std,two,hatchback,fwd,four,23,31,2018,32870,gray,florida, usa
  1ft7w2bt7hec41164,nissan,gas,std,four,sedan,fwd,four,31,37,2017,39333,black,texas, usa
  1gks2gkc6hr327937,mazda,gas,std,four,sedan,rwd,four,19,27,2017,32504,silver,california, usa
  3gcukrec4gg223800,volkswagen,gas,std,two,sedan,fwd,four,27,34,2016,33045,white,michigan, usa
  jtezu11f88k007763,alfa-romero,gas,std,two,convertible,rwd,four,21,27,2008,274117,black,new jersey, usa
  1fduf5gt8bea80212,volvo,gas,std,four,wagon,rwd,four,24,28,2011,309564,white,south carolina, usa
  3gcuknec6gg150809,toyota,diesel,turbo,four,sedan,fwd,four,30,33,2016,33624,black,michigan, usa
  1gc4k1ey0jf149152,porsche,gas,std,two,hardtop,rwd,six,17,25,2018,16105,black,washington, usa
